BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Staten Island,2023 / 10,4344.9,458.9,451.7,910.5999999999999,5255.5,0.17326610217866995
Manhattan,2024 / 04,2486.6,219.8,226.1,445.9,2932.5,0.1520545609548167
Staten Island,2023 / 10,5519.3,602.1,533.7,1135.8000000000002,6655.1,0.17066610569337803
Queens,2023 / 12,5190.8,815.4,532.4,1347.8,6538.6,0.20612975254641663
Queens,2023 / 08,5785.1,866.4,430.8,1297.2,7082.3,0.18316083758101182
Manhattan,2023 / 09,2349.5,161.1,202.9,364.0,2713.5,0.13414409434309932
Brooklyn,2024 / 01,4292.3,352.9,474.1,827.0,5119.3,0.1615455238020823
Brooklyn,2023 / 11,1949.8,200.6,163.1,363.7,2313.5,0.15720769397017506
Queens,2023 / 12,3528.6,505.3,421.9,927.2,4455.8,0.20808833430584855
Brooklyn,2023 / 08,2738.5,376.2,488.1,864.3,3602.8,0.2398967469745753
Manhattan,2023 / 11,2684.3,366.1,510.2,876.3,3560.6000000000004,0.2461102061450317
Bronx,2024 / 03,2497.8,322.9,270.7,593.5999999999999,3091.4,0.19201656207543505
Brooklyn,2023 / 09,5614.4,607.1,508.9,1116.0,6730.4,0.1658148104124569
Brooklyn,2024 / 04,2423.7,259.6,289.1,548.7,2972.3999999999996,0.1845983044004845
Bronx,2024 / 01,4032.6,337.1,250.7,587.8,4620.4,0.12721842264738983
Queens,2023 / 10,3812.6,377.2,426.9,804.0999999999999,4616.7,0.1741720276387896
Bronx,2024 / 03,1545.4,137.2,105.5,242.7,1788.1000000000001,0.13573066383311894
Bronx,2024 / 01,3819.6,572.0,319.7,891.7,4711.3,0.18926835480652898
Queens,2023 / 10,3218.9,243.1,227.1,470.2,3689.1,0.127456561220894
Brooklyn,2023 / 10,4921.0,410.2,452.3,862.5,5783.5,0.14913114895824328
Queens,2023 / 11,3614.1,356.1,393.7,749.8,4363.9,0.17181878594834896
Brooklyn,2023 / 09,4313.7,308.8,430.5,739.3,5053.0,0.1463091232930932
Manhattan,2023 / 12,4785.7,755.5,1174.5,1930.0,6715.7,0.28738627395506056
